codigo_dane,nombre,departamento,nombre_normalizado
5001,MEDELLÍN,ANTIOQUIA,MEDELLIN
5002,ABEJORRAL,ANTIOQUIA,ABEJORRAL
5004,ABRIAQUÍ,ANTIOQUIA,ABRIAQUI
5021,ALEJANDRÍA,ANTIOQUIA,ALEJANDRIA
5030,AMAGÁ,ANTIOQUIA,AMAGA
5031,AMALFI,ANTIOQUIA,AMALFI
5034,ANDES,ANTIOQUIA,ANDES
5036,ANGELÓPOLIS,ANTIOQUIA,ANGELOPOLIS
5038,ANGOSTURA,ANTIOQUIA,ANGOSTURA
5040,ANORÍ,ANTIOQUIA,ANORI
5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,SANTA FE DE ANTIOQUIA
5044,ANZÁ,ANTIOQUIA,ANZA
5045,APARTADÓ,ANTIOQUIA,APARTADO
5051,ARBOLETES,ANTIOQUIA,ARBOLETES
5055,ARGELIA,ANTIOQUIA,ARGELIA
5059,ARMENIA,ANTIOQUIA,ARMENIA
5079,BARBOSA,ANTIOQUIA,BARBOSA
5086,BELMIRA,ANTIOQUIA,BELMIRA
5088,BELLO,ANTIOQUIA,BELLO
5091,BETANIA,ANTIOQUIA,BETANIA
5093,BETULIA,ANTIOQUIA,BETULIA
5101,CIUDAD BOLÍVAR,ANTIOQUIA,CIUDAD BOLIVAR
5107,BRICEÑO,ANTIOQUIA,BRICENO
5113,BURITICÁ,ANTIOQUIA,BURITICA
5120,CÁCERES,ANTIOQUIA,CACERES
5125,CAICEDO,ANTIOQUIA,CAICEDO
5129,CALDAS,ANTIOQUIA,CALDAS
5134,CAMPAMENTO,ANTIOQUIA,CAMPAMENTO
5138,CAÑASGORDAS,ANTIOQUIA,CANASGORDAS
5142,CARACOLÍ,ANTIOQUIA,CARACOLI
5145,CARAMANTA,ANTIOQUIA,CARAMANTA
5147,CAREPA,ANTIOQUIA,CAREPA
5148,EL CARMEN DE VIBORAL,ANTIOQUIA,EL CARMEN DE VIBORAL
5150,CAROLINA,ANTIOQUIA,CAROLINA
5154,CAUCASIA,ANTIOQUIA,CAUCASIA
5172,CHIGORODÓ,ANTIOQUIA,CHIGORODO
5190,CISNEROS,ANTIOQUIA,CISNEROS
5197,COCORNÁ,ANTIOQUIA,COCORNA
5206,CONCEPCIÓN,ANTIOQUIA,CONCEPCION
5209,CONCORDIA,ANTIOQUIA,CONCORDIA
5212,COPACABANA,ANTIOQUIA,COPACABANA
5234,DABEIBA,ANTIOQUIA,DABEIBA
5237,DONMATÍAS,ANTIOQUIA,DONMATIAS
5240,EBÉJICO,ANTIOQUIA,EBEJICO
5250,EL BAGRE,ANTIOQUIA,EL BAGRE
5264,ENTRERRÍOS,ANTIOQUIA,ENTRERRIOS
5266,ENVIGADO,ANTIOQUIA,ENVIGADO
5282,FREDONIA,ANTIOQUIA,FREDONIA
5284,FRONTINO,ANTIOQUIA,FRONTINO
5306,GIRALDO,ANTIOQUIA,GIRALDO
5308,GIRARDOTA,ANTIOQUIA,GIRARDOTA
5310,GÓMEZ PLATA,ANTIOQUIA,GOMEZ PLATA
5313,GRANADA,ANTIOQUIA,GRANADA
5315,GUADALUPE,ANTIOQUIA,GUADALUPE
5318,GUARNE,ANTIOQUIA,GUARNE
5321,GUATAPÉ,ANTIOQUIA,GUATAPE
5347,HELICONIA,ANTIOQUIA,HELICONIA
5353,HISPANIA,ANTIOQUIA,HISPANIA
5360,ITAGÜÍ,ANTIOQUIA,ITAGUI
5361,ITUANGO,ANTIOQUIA,ITUANGO
5364,JARDÍN,ANTIOQUIA,JARDIN
5368,JERICÓ,ANTIOQUIA,JERICO
5376,LA CEJA,ANTIOQUIA,LA CEJA
5380,LA ESTRELLA,ANTIOQUIA,LA ESTRELLA
5390,LA PINTADA,ANTIOQUIA,LA PINTADA
5400,LA UNIÓN,ANTIOQUIA,LA UNION
5411,LIBORINA,ANTIOQUIA,LIBORINA
5425,MACEO,ANTIOQUIA,MACEO
5440,MARINILLA,ANTIOQUIA,MARINILLA
5467,MONTEBELLO,ANTIOQUIA,MONTEBELLO
5475,MURINDÓ,ANTIOQUIA,MURINDO
5480,MUTATÁ,ANTIOQUIA,MUTATA
5483,NARIÑO,ANTIOQUIA,NARINO
5490,NECOCLÍ,ANTIOQUIA,NECOCLI
5495,NECHÍ,ANTIOQUIA,NECHI
5501,OLAYA,ANTIOQUIA,OLAYA
5541,PEÑOL,ANTIOQUIA,PENOL
5543,PEQUE,ANTIOQUIA,PEQUE
5576,PUEBLORRICO,ANTIOQUIA,PUEBLORRICO
5579,PUERTO BERRÍO,ANTIOQUIA,PUERTO BERRIO
5585,PUERTO NARE,ANTIOQUIA,PUERTO NARE
5591,PUERTO TRIUNFO,ANTIOQUIA,PUERTO TRIUNFO
5604,REMEDIOS,ANTIOQUIA,REMEDIOS
5607,RETIRO,ANTIOQUIA,RETIRO
5615,RIONEGRO,ANTIOQUIA,RIONEGRO
5628,SABANALARGA,ANTIOQUIA,SABANALARGA
5631,SABANETA,ANTIOQUIA,SABANETA
5642,SALGAR,ANTIOQUIA,SALGAR
5647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,SAN ANDRES DE CUERQUIA
5649,SAN CARLOS,ANTIOQUIA,SAN CARLOS
5652,SAN FRANCISCO,ANTIOQUIA,SAN FRANCISCO
5656,SAN JERÓNIMO,ANTIOQUIA,SAN JERONIMO
5658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,SAN JOSE DE LA MONTANA
5659,SAN JUAN DE URABÁ,ANTIOQUIA,SAN JUAN DE URABA
5660,SAN LUIS,ANTIOQUIA,SAN LUIS
5664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS
5665,SAN PEDRO DE URABÁ,ANTIOQUIA,SAN PEDRO DE URABA
5667,SAN RAFAEL,ANTIOQUIA,SAN RAFAEL
5670,SAN ROQUE,ANTIOQUIA,SAN ROQUE
5674,SAN VICENTE FERRER,ANTIOQUIA,SAN VICENTE FERRER
5679,SANTA BÁRBARA,ANTIOQUIA,SANTA BARBARA
5686,SANTA ROSA DE OSOS,ANTIOQUIA,SANTA ROSA DE OSOS
5690,SANTO DOMINGO,ANTIOQUIA,SANTO DOMINGO
5697,EL SANTUARIO,ANTIOQUIA,EL SANTUARIO
5736,SEGOVIA,ANTIOQUIA,SEGOVIA
5756,SONSÓN,ANTIOQUIA,SONSON
5761,SOPETRÁN,ANTIOQUIA,SOPETRAN
5789,TÁMESIS,ANTIOQUIA,TAMESIS
5790,TARAZÁ,ANTIOQUIA,TARAZA
5792,TARSO,ANTIOQUIA,TARSO
5809,TITIRIBÍ,ANTIOQUIA,TITIRIBI
5819,TOLEDO,ANTIOQUIA,TOLEDO
5837,TURBO,ANTIOQUIA,TURBO
5842,URAMITA,ANTIOQUIA,URAMITA
5847,URRAO,ANTIOQUIA,URRAO
5854,VALDIVIA,ANTIOQUIA,VALDIVIA
5856,VALPARAÍSO,ANTIOQUIA,VALPARAISO
5858,VEGACHÍ,ANTIOQUIA,VEGACHI
5861,VENECIA,ANTIOQUIA,VENECIA
5873,VIGÍA DEL FUERTE,ANTIOQUIA,VIGIA DEL FUERTE
5885,YALÍ,ANTIOQUIA,YALI
5887,YARUMAL,ANTIOQUIA,YARUMAL
5890,YOLOMBÓ,ANTIOQUIA,YOLOMBO
5893,YONDÓ,ANTIOQUIA,YONDO
5895,ZARAGOZA,ANTIOQUIA,ZARAGOZA
8001,BARRANQUILLA,ATLÁNTICO,BARRANQUILLA
8078,BARANOA,ATLÁNTICO,BARANOA
8137,CAMPO DE LA CRUZ,ATLÁNTICO,CAMPO DE LA CRUZ
8141,CANDELARIA,ATLÁNTICO,CANDELARIA
8296,GALAPA,ATLÁNTICO,GALAPA
8372,JUAN DE ACOSTA,ATLÁNTICO,JUAN DE ACOSTA
8421,LURUACO,ATLÁNTICO,LURUACO
8433,MALAMBO,ATLÁNTICO,MALAMBO
8436,MANATÍ,ATLÁNTICO,MANATI
8520,PALMAR DE VARELA,ATLÁNTICO,PALMAR DE VARELA
8549,PIOJÓ,ATLÁNTICO,PIOJO
8558,POLONUEVO,ATLÁNTICO,POLONUEVO
8560,PONEDERA,ATLÁNTICO,PONEDERA
8573,PUERTO COLOMBIA,ATLÁNTICO,PUERTO COLOMBIA
8606,REPELÓN,ATLÁNTICO,REPELON
8634,SABANAGRANDE,ATLÁNTICO,SABANAGRANDE
8638,SABANALARGA,ATLÁNTICO,SABANALARGA
8675,SANTA LUCÍA,ATLÁNTICO,SANTA LUCIA
8685,SANTO TOMÁS,ATLÁNTICO,SANTO TOMAS
8758,SOLEDAD,ATLÁNTICO,SOLEDAD
8770,SUAN,ATLÁNTICO,SUAN
8832,TUBARÁ,ATLÁNTICO,TUBARA
8849,USIACURÍ,ATLÁNTICO,USIACURI
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.","BOGOTA, D.C."
13001,CARTAGENA DE INDIAS,BOLÍVAR,CARTAGENA DE INDIAS
13006,ACHÍ,BOLÍVAR,ACHI
13030,ALTOS DEL ROSARIO,BOLÍVAR,ALTOS DEL ROSARIO
13042,ARENAL,BOLÍVAR,ARENAL
13052,ARJONA,BOLÍVAR,ARJONA
13062,ARROYOHONDO,BOLÍVAR,ARROYOHONDO
13074,BARRANCO DE LOBA,BOLÍVAR,BARRANCO DE LOBA
13140,CALAMAR,BOLÍVAR,CALAMAR
13160,CANTAGALLO,BOLÍVAR,CANTAGALLO
13188,CICUCO,BOLÍVAR,CICUCO
13212,CÓRDOBA,BOLÍVAR,CORDOBA
13222,CLEMENCIA,BOLÍVAR,CLEMENCIA
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,EL CARMEN DE BOLIVAR
13248,EL GUAMO,BOLÍVAR,EL GUAMO
13268,EL PEÑÓN,BOLÍVAR,EL PENON
13300,HATILLO DE LOBA,BOLÍVAR,HATILLO DE LOBA
13430,MAGANGUÉ,BOLÍVAR,MAGANGUE
13433,MAHATES,BOLÍVAR,MAHATES
13440,MARGARITA,BOLÍVAR,MARGARITA
13442,MARÍA LA BAJA,BOLÍVAR,MARIA LA BAJA
13458,MONTECRISTO,BOLÍVAR,MONTECRISTO
13468,SANTA CRUZ DE MOMPOX,BOLÍVAR,SANTA CRUZ DE MOMPOX
13473,MORALES,BOLÍVAR,MORALES
13490,NOROSÍ,BOLÍVAR,NOROSI
13549,PINILLOS,BOLÍVAR,PINILLOS
13580,REGIDOR,BOLÍVAR,REGIDOR
13600,RÍO VIEJO,BOLÍVAR,RIO VIEJO
13620,SAN CRISTÓBAL,BOLÍVAR,SAN CRISTOBAL
13647,SAN ESTANISLAO,BOLÍVAR,SAN ESTANISLAO
13650,SAN FERNANDO,BOLÍVAR,SAN FERNANDO
13654,SAN JACINTO,BOLÍVAR,SAN JACINTO
13655,SAN JACINTO DEL CAUCA,BOLÍVAR,SAN JACINTO DEL CAUCA
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,SAN JUAN NEPOMUCENO
13667,SAN MARTÍN DE LOBA,BOLÍVAR,SAN MARTIN DE LOBA
13670,SAN PABLO,BOLÍVAR,SAN PABLO
13673,SANTA CATALINA,BOLÍVAR,SANTA CATALINA
13683,SANTA ROSA,BOLÍVAR,SANTA ROSA
13688,SANTA ROSA DEL SUR,BOLÍVAR,SANTA ROSA DEL SUR
13744,SIMITÍ,BOLÍVAR,SIMITI
13760,SOPLAVIENTO,BOLÍVAR,SOPLAVIENTO
13780,TALAIGUA NUEVO,BOLÍVAR,TALAIGUA NUEVO
13810,TIQUISIO,BOLÍVAR,TIQUISIO
13836,TURBACO,BOLÍVAR,TURBACO
13838,TURBANA,BOLÍVAR,TURBANA
13873,VILLANUEVA,BOLÍVAR,VILLANUEVA
13894,ZAMBRANO,BOLÍVAR,ZAMBRANO
15001,TUNJA,BOYACÁ,TUNJA
15022,ALMEIDA,BOYACÁ,ALMEIDA
15047,AQUITANIA,BOYACÁ,AQUITANIA
15051,ARCABUCO,BOYACÁ,ARCABUCO
15087,BELÉN,BOYACÁ,BELEN
15090,BERBEO,BOYACÁ,BERBEO
15092,BETÉITIVA,BOYACÁ,BETEITIVA
15097,BOAVITA,BOYACÁ,BOAVITA
15104,BOYACÁ,BOYACÁ,BOYACA
15106,BRICEÑO,BOYACÁ,BRICENO
15109,BUENAVISTA,BOYACÁ,BUENAVISTA
15114,BUSBANZÁ,BOYACÁ,BUSBANZA
15131,CALDAS,BOYACÁ,CALDAS
15135,CAMPOHERMOSO,BOYACÁ,CAMPOHERMOSO
15162,CERINZA,BOYACÁ,CERINZA
15172,CHINAVITA,BOYACÁ,CHINAVITA
15176,CHIQUINQUIRÁ,BOYACÁ,CHIQUINQUIRA
15180,CHISCAS,BOYACÁ,CHISCAS
15183,CHITA,BOYACÁ,CHITA
15185,CHITARAQUE,BOYACÁ,CHITARAQUE
15187,CHIVATÁ,BOYACÁ,CHIVATA
15189,CIÉNEGA,BOYACÁ,CIENEGA
15204,CÓMBITA,BOYACÁ,COMBITA
15212,COPER,BOYACÁ,COPER
15215,CORRALES,BOYACÁ,CORRALES
15218,COVARACHÍA,BOYACÁ,COVARACHIA
15223,CUBARÁ,BOYACÁ,CUBARA
15224,CUCAITA,BOYACÁ,CUCAITA
15226,CUÍTIVA,BOYACÁ,CUITIVA
15232,CHÍQUIZA,BOYACÁ,CHIQUIZA
15236,CHIVOR,BOYACÁ,CHIVOR
15238,DUITAMA,BOYACÁ,DUITAMA
15244,EL COCUY,BOYACÁ,EL COCUY
15248,EL ESPINO,BOYACÁ,EL ESPINO
15272,FIRAVITOBA,BOYACÁ,FIRAVITOBA
15276,FLORESTA,BOYACÁ,FLORESTA
15293,GACHANTIVÁ,BOYACÁ,GACHANTIVA
15296,GÁMEZA,BOYACÁ,GAMEZA
15299,GARAGOA,BOYACÁ,GARAGOA
15317,GUACAMAYAS,BOYACÁ,GUACAMAYAS
15322,GUATEQUE,BOYACÁ,GUATEQUE
15325,GUAYATÁ,BOYACÁ,GUAYATA
15332,GÜICÁN DE LA SIERRA,BOYACÁ,GUICAN DE LA SIERRA
15362,IZA,BOYACÁ,IZA
15367,JENESANO,BOYACÁ,JENESANO
15368,JERICÓ,BOYACÁ,JERICO
15377,LABRANZAGRANDE,BOYACÁ,LABRANZAGRANDE
15380,LA CAPILLA,BOYACÁ,LA CAPILLA
15401,LA VICTORIA,BOYACÁ,LA VICTORIA
15403,LA UVITA,BOYACÁ,LA UVITA
15407,VILLA DE LEYVA,BOYACÁ,VILLA DE LEYVA
15425,MACANAL,BOYACÁ,MACANAL
15442,MARIPÍ,BOYACÁ,MARIPI
15455,MIRAFLORES,BOYACÁ,MIRAFLORES
15464,MONGUA,BOYACÁ,MONGUA
15466,MONGUÍ,BOYACÁ,MONGUI
15469,MONIQUIRÁ,BOYACÁ,MONIQUIRA
15476,MOTAVITA,BOYACÁ,MOTAVITA
15480,MUZO,BOYACÁ,MUZO
15491,NOBSA,BOYACÁ,NOBSA
15494,NUEVO COLÓN,BOYACÁ,NUEVO COLON
15500,OICATÁ,BOYACÁ,OICATA
15507,OTANCHE,BOYACÁ,OTANCHE
15511,PACHAVITA,BOYACÁ,PACHAVITA
15514,PÁEZ,BOYACÁ,PAEZ
15516,PAIPA,BOYACÁ,PAIPA
15518,PAJARITO,BOYACÁ,PAJARITO
15522,PANQUEBA,BOYACÁ,PANQUEBA
15531,PAUNA,BOYACÁ,PAUNA
15533,PAYA,BOYACÁ,PAYA
15537,PAZ DE RÍO,BOYACÁ,PAZ DE RIO
15542,PESCA,BOYACÁ,PESCA
15550,PISBA,BOYACÁ,PISBA
15572,PUERTO BOYACÁ,BOYACÁ,PUERTO BOYACA
15580,QUÍPAMA,BOYACÁ,QUIPAMA
15599,RAMIRIQUÍ,BOYACÁ,RAMIRIQUI
15600,RÁQUIRA,BOYACÁ,RAQUIRA
15621,RONDÓN,BOYACÁ,RONDON
15632,SABOYÁ,BOYACÁ,SABOYA
15638,SÁCHICA,BOYACÁ,SACHICA
15646,SAMACÁ,BOYACÁ,SAMACA
15660,SAN EDUARDO,BOYACÁ,SAN EDUARDO
15664,SAN JOSÉ DE PARE,BOYACÁ,SAN JOSE DE PARE
15667,SAN LUIS DE GACENO,BOYACÁ,SAN LUIS DE GACENO
15673,SAN MATEO,BOYACÁ,SAN MATEO
15676,SAN MIGUEL DE SEMA,BOYACÁ,SAN MIGUEL DE SEMA
15681,SAN PABLO DE BORBUR,BOYACÁ,SAN PABLO DE BORBUR
15686,SANTANA,BOYACÁ,SANTANA
15690,SANTA MARÍA,BOYACÁ,SANTA MARIA
15693,SANTA ROSA DE VITERBO,BOYACÁ,SANTA ROSA DE VITERBO
15696,SANTA SOFÍA,BOYACÁ,SANTA SOFIA
15720,SATIVANORTE,BOYACÁ,SATIVANORTE
15723,SATIVASUR,BOYACÁ,SATIVASUR
15740,SIACHOQUE,BOYACÁ,SIACHOQUE
15753,SOATÁ,BOYACÁ,SOATA
15755,SOCOTÁ,BOYACÁ,SOCOTA
15757,SOCHA,BOYACÁ,SOCHA
15759,SOGAMOSO,BOYACÁ,SOGAMOSO
15761,SOMONDOCO,BOYACÁ,SOMONDOCO
15762,SORA,BOYACÁ,SORA
15763,SOTAQUIRÁ,BOYACÁ,SOTAQUIRA
15764,SORACÁ,BOYACÁ,SORACA
15774,SUSACÓN,BOYACÁ,SUSACON
15776,SUTAMARCHÁN,BOYACÁ,SUTAMARCHAN
15778,SUTATENZA,BOYACÁ,SUTATENZA
15790,TASCO,BOYACÁ,TASCO
15798,TENZA,BOYACÁ,TENZA
15804,TIBANÁ,BOYACÁ,TIBANA
15806,TIBASOSA,BOYACÁ,TIBASOSA
15808,TINJACÁ,BOYACÁ,TINJACA
15810,TIPACOQUE,BOYACÁ,TIPACOQUE
15814,TOCA,BOYACÁ,TOCA
15816,TOGÜÍ,BOYACÁ,TOGUI
15820,TÓPAGA,BOYACÁ,TOPAGA
15822,TOTA,BOYACÁ,TOTA
15832,TUNUNGUÁ,BOYACÁ,TUNUNGUA
15835,TURMEQUÉ,BOYACÁ,TURMEQUE
15837,TUTA,BOYACÁ,TUTA
15839,TUTAZÁ,BOYACÁ,TUTAZA
15842,ÚMBITA,BOYACÁ,UMBITA
15861,VENTAQUEMADA,BOYACÁ,VENTAQUEMADA
15879,VIRACACHÁ,BOYACÁ,VIRACACHA
15897,ZETAQUIRA,BOYACÁ,ZETAQUIRA
17001,MANIZALES,CALDAS,MANIZALES
17013,AGUADAS,CALDAS,AGUADAS
17042,ANSERMA,CALDAS,ANSERMA
17050,ARANZAZU,CALDAS,ARANZAZU
17088,BELALCÁZAR,CALDAS,BELALCAZAR
17174,CHINCHINÁ,CALDAS,CHINCHINA
17272,FILADELFIA,CALDAS,FILADELFIA
17380,LA DORADA,CALDAS,LA DORADA
17388,LA MERCED,CALDAS,LA MERCED
17433,MANZANARES,CALDAS,MANZANARES
17442,MARMATO,CALDAS,MARMATO
17444,MARQUETALIA,CALDAS,MARQUETALIA
17446,MARULANDA,CALDAS,MARULANDA
17486,NEIRA,CALDAS,NEIRA
17495,NORCASIA,CALDAS,NORCASIA
17513,PÁCORA,CALDAS,PACORA
17524,PALESTINA,CALDAS,PALESTINA
17541,PENSILVANIA,CALDAS,PENSILVANIA
17614,RIOSUCIO,CALDAS,RIOSUCIO
17616,RISARALDA,CALDAS,RISARALDA
17653,SALAMINA,CALDAS,SALAMINA
17662,SAMANÁ,CALDAS,SAMANA
17665,SAN JOSÉ,CALDAS,SAN JOSE
17777,SUPÍA,CALDAS,SUPIA
17867,VICTORIA,CALDAS,VICTORIA
17873,VILLAMARÍA,CALDAS,VILLAMARIA
17877,VITERBO,CALDAS,VITERBO
18001,FLORENCIA,CAQUETÁ,FLORENCIA
18029,ALBANIA,CAQUETÁ,ALBANIA
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,BELEN DE LOS ANDAQUIES
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,CARTAGENA DEL CHAIRA
18205,CURILLO,CAQUETÁ,CURILLO
18247,EL DONCELLO,CAQUETÁ,EL DONCELLO
18256,EL PAUJÍL,CAQUETÁ,EL PAUJIL
18410,LA MONTAÑITA,CAQUETÁ,LA MONTANITA
18460,MILÁN,CAQUETÁ,MILAN
18479,MORELIA,CAQUETÁ,MORELIA
18592,PUERTO RICO,CAQUETÁ,PUERTO RICO
18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,SAN JOSE DEL FRAGUA
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,SAN VICENTE DEL CAGUAN
18756,SOLANO,CAQUETÁ,SOLANO
18785,SOLITA,CAQUETÁ,SOLITA
18860,VALPARAÍSO,CAQUETÁ,VALPARAISO
19001,POPAYÁN,CAUCA,POPAYAN
19022,ALMAGUER,CAUCA,ALMAGUER
19050,ARGELIA,CAUCA,ARGELIA
19075,BALBOA,CAUCA,BALBOA
19100,BOLÍVAR,CAUCA,BOLIVAR
19110,BUENOS AIRES,CAUCA,BUENOS AIRES
19130,CAJIBÍO,CAUCA,CAJIBIO
19137,CALDONO,CAUCA,CALDONO
19142,CALOTO,CAUCA,CALOTO
19212,CORINTO,CAUCA,CORINTO
19256,EL TAMBO,CAUCA,EL TAMBO
19290,FLORENCIA,CAUCA,FLORENCIA
19300,GUACHENÉ,CAUCA,GUACHENE
19318,GUAPI,CAUCA,GUAPI
19355,INZÁ,CAUCA,INZA
19364,JAMBALÓ,CAUCA,JAMBALO
19392,LA SIERRA,CAUCA,LA SIERRA
19397,LA VEGA,CAUCA,LA VEGA
19418,LÓPEZ DE MICAY,CAUCA,LOPEZ DE MICAY
19450,MERCADERES,CAUCA,MERCADERES
